content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
MESSAGING,37,HEU,93.3702,1,527.0000,67.8980
MESSAGING,37,MST,32.1248,1,522.0000,77.1286
VIDEO,38,DIR,0.3700,1,6135.0000,42.6126
VIDEO,38,HEU,84.3959,1,527.0000,69.7317
VIDEO,38,MST,33.4728,1,522.0000,79.1215
AUDIO,38,DIR,0.0598,1,6135.0000,42.6126
AUDIO,38,HEU,63.6125,1,527.0000,69.7317
AUDIO,38,MST,30.9389,0,0.0000,0.0000
MESSAGING,38,DIR,0.0846,1,6135.0000,42.6126
MESSAGING,38,HEU,81.1470,1,527.0000,69.7317
MESSAGING,38,MST,56.8826,1,522.0000,79.1215
VIDEO,39,DIR,0.3469,1,6260.0000,42.3295
VIDEO,39,HEU,95.9797,1,526.0000,68.0228
VIDEO,39,MST,50.4892,1,520.0000,78.0785
AUDIO,39,DIR,0.0544,1,6260.0000,42.3295
AUDIO,39,HEU,105.4769,1,526.0000,68.0228
AUDIO,39,MST,28.6291,0,0.0000,0.0000
MESSAGING,39,DIR,0.0889,1,6260.0000,42.3295
MESSAGING,39,HEU,77.6031,1,526.0000,68.0228
MESSAGING,39,MST,15.6541,1,520.0000,78.0785
VIDEO,40,DIR,0.3002,1,6384.0000,42.1117
VIDEO,40,HEU,85.3834,1,526.0000,65.8207
VIDEO,40,MST,42.2869,1,521.0000,75.7428
AUDIO,40,DIR,0.0625,1,6384.0000,42.1117
AUDIO,40,HEU,118.4516,1,526.0000,65.8207
AUDIO,40,MST,14.9908,1,521.0000,75.7428
MESSAGING,40,DIR,0.1025,1,6384.0000,42.1117
MESSAGING,40,HEU,98.0904,1,526.0000,65.8207
MESSAGING,40,MST,15.8591,1,521.0000,75.7428
VIDEO,41,DIR,0.3631,1,6632.0000,42.6781
VIDEO,41,HEU,77.3816,1,526.0000,66.8944
VIDEO,41,MST,33.1950,1,521.0000,77.2031
AUDIO,41,DIR,0.0572,1,6632.0000,42.6781
AUDIO,41,HEU,83.7491,1,526.0000,66.8944
AUDIO,41,MST,14.7223,1,521.0000,77.2031
MESSAGING,41,DIR,0.0865,1,6632.0000,42.6781
MESSAGING,41,HEU,85.8555,1,526.0000,66.8944
MESSAGING,41,MST,31.2192,1,521.0000,77.2031
VIDEO,42,DIR,0.4029,1,6758.0000,43.3028
VIDEO,42,HEU,134.7065,1,528.0000,68.7158
VIDEO,42,MST,18.1878,1,522.0000,77.4639
AUDIO,42,DIR,0.0720,1,6758.0000,43.3028
AUDIO,42,HEU,90.0595,1,528.0000,68.7158
AUDIO,42,MST,66.7448,1,522.0000,77.4639
MESSAGING,42,DIR,0.0670,1,6758.0000,43.3028
MESSAGING,42,HEU,135.2453,1,528.0000,68.7158
MESSAGING,42,MST,15.6674,1,522.0000,77.4639
VIDEO,43,DIR,0.4208,1,6883.0000,43.1145
VIDEO,43,HEU,133.3845,1,528.0000,67.9806
VIDEO,43,MST,33.6850,1,522.0000,76.6610
AUDIO,43,DIR,0.0801,1,6883.0000,43.1145
AUDIO,43,HEU,57.0445,1,528.0000,67.9806
AUDIO,43,MST,34.0037,1,522.0000,76.6610
MESSAGING,43,DIR,0.0782,1,6883.0000,43.1145
MESSAGING,43,HEU,132.0097,1,528.0000,67.9806
MESSAGING,43,MST,18.3418,1,522.0000,76.6610
VIDEO,44,DIR,0.3767,1,7134.0000,43.0867
VIDEO,44,HEU,125.0374,1,531.0000,69.4436
VIDEO,44,MST,33.3598,1,524.0000,78.8199
AUDIO,44,DIR,0.0987,1,7134.0000,43.0867
AUDIO,44,HEU,101.6576,1,531.0000,69.4436
AUDIO,44,MST,32.5408,1,524.0000,78.8199
MESSAGING,44,DIR,0.1178,1,7134.0000,43.0867
MESSAGING,44,HEU,62.8772,1,531.0000,69.4436
MESSAGING,44,MST,40.4012,1,524.0000,78.8199
VIDEO,45,DIR,0.4554,1,7382.0000,43.4108
VIDEO,45,HEU,132.4019,1,656.0000,69.0877
VIDEO,45,MST,18.3470,1,648.0000,78.5242
AUDIO,45,DIR,0.0646,1,7382.0000,43.4108
AUDIO,45,HEU,57.2429,1,656.0000,69.0877
AUDIO,45,MST,73.6547,1,648.0000,78.5242
MESSAGING,45,DIR,0.0608,1,7382.0000,43.4108
MESSAGING,45,HEU,125.6592,1,656.0000,69.0877
MESSAGING,45,MST,66.4644,1,648.0000,78.5242
VIDEO,46,DIR,0.3366,1,7507.0000,43.2582
VIDEO,46,HEU,116.2810,1,656.0000,68.0802
VIDEO,46,MST,33.1197,1,648.0000,77.7592
AUDIO,46,DIR,0.0665,1,7507.0000,43.2582
AUDIO,46,HEU,124.9425,1,656.0000,68.0802
AUDIO,46,MST,31.0345,1,648.0000,77.7592
MESSAGING,46,DIR,0.1085,1,7507.0000,43.2582
MESSAGING,46,HEU,148.0744,1,656.0000,68.0802
MESSAGING,46,MST,26.7596,1,648.0000,77.7592
