content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
VIDEO,18,ILP,DNF,0,-,-
VIDEO,18,MST,15.2276,1,789.1550,131.0055
AUDIO,18,DIR,0.0405,1,3947.1550,53.8697
AUDIO,18,HEU,17.1602,1,883.3100,67.9622
AUDIO,18,ILP,DNF,0,-,-
AUDIO,18,MST,30.2622,0,0.0000,0.0000
MESSAGING,18,DIR,0.0672,1,3947.1550,53.8697
MESSAGING,18,HEU,29.5155,1,887.4650,142.3075
MESSAGING,18,ILP,DNF,0,-,-
MESSAGING,18,MST,13.6716,1,789.1550,131.0055
GAMING,18,DIR,0.0122,0,0.0000,0.0000
GAMING,18,HEU,0.9727,0,0.0000,0.0000
GAMING,18,ILP,DNF,0,-,-
GAMING,18,MST,12.7380,0,0.0000,0.0000
VIDEO,19,DIR,0.1376,1,3947.1550,51.3531
VIDEO,19,HEU,13.8836,1,887.4650,134.5642
VIDEO,19,ILP,DNF,0,-,-
VIDEO,19,MST,14.9257,1,789.1550,124.3684
AUDIO,19,DIR,0.0346,1,3947.1550,51.3531
AUDIO,19,HEU,17.5347,1,883.3100,64.3492
AUDIO,19,ILP,DNF,0,-,-
AUDIO,19,MST,22.4555,0,0.0000,0.0000
MESSAGING,19,DIR,0.0460,1,3947.1550,51.3531
MESSAGING,19,HEU,34.8692,1,887.4650,134.5642
MESSAGING,19,ILP,DNF,0,-,-
MESSAGING,19,MST,13.8299,1,789.1550,124.3684
GAMING,19,DIR,0.0143,0,0.0000,0.0000
GAMING,19,HEU,0.7491,0,0.0000,0.0000
GAMING,19,ILP,DNF,0,-,-
GAMING,19,MST,13.7191,0,0.0000,0.0000
VIDEO,20,DIR,0.1442,1,4091.1550,53.1593
VIDEO,20,HEU,14.4665,1,897.3100,93.8751
VIDEO,20,ILP,DNF,0,-,-
VIDEO,20,MST,32.0864,1,838.1550,153.2631
AUDIO,20,DIR,0.0379,1,4091.1550,53.1593
AUDIO,20,HEU,19.9101,1,897.3100,90.2558
AUDIO,20,ILP,DNF,0,-,-
AUDIO,20,MST,25.7814,0,0.0000,0.0000
MESSAGING,20,DIR,0.0429,1,4091.1550,53.1593
