content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
AUDIO,42,HEU,51.5497,1,652.0000,65.5392
AUDIO,42,MST,12.6619,0,0.0000,0.0000
AUDIO,43,DIR,0.0420,1,3334.0000,49.0403
AUDIO,43,HEU,53.5748,1,652.0000,65.1400
AUDIO,43,MST,13.1629,0,0.0000,0.0000
AUDIO,44,DIR,0.0672,1,3336.0000,48.6413
AUDIO,44,HEU,54.7771,1,653.0000,65.0652
AUDIO,44,MST,13.6614,0,0.0000,0.0000
AUDIO,45,DIR,0.0808,1,3462.0000,49.0749
AUDIO,45,HEU,62.9327,1,653.0000,65.6754
AUDIO,45,MST,14.1203,0,0.0000,0.0000
AUDIO,46,DIR,0.0715,1,3588.0000,49.4026
AUDIO,46,HEU,61.2202,1,653.0000,66.8841
AUDIO,46,MST,13.3832,0,0.0000,0.0000
MESSAGING,2,DIR,0.0267,1,126.0000,65.7057
MESSAGING,2,HEU,1.1213,1,126.0000,65.7057
MESSAGING,2,MST,11.1878,1,126.0000,65.7057
MESSAGING,3,DIR,0.0124,1,252.0000,59.8863
MESSAGING,3,HEU,2.0189,1,128.0000,85.3934
MESSAGING,3,MST,12.1768,1,128.0000,85.3934
MESSAGING,4,DIR,0.0188,1,378.0000,61.9956
MESSAGING,4,HEU,2.9783,1,254.0000,79.0003
MESSAGING,4,MST,11.0567,1,254.0000,79.0003
MESSAGING,5,DIR,0.0131,1,503.0000,57.3267
MESSAGING,5,HEU,3.7520,1,253.0000,62.9862
MESSAGING,5,MST,10.8755,1,253.0000,62.9862
MESSAGING,6,DIR,0.0131,1,506.0000,54.8675
MESSAGING,6,HEU,4.8525,1,256.0000,80.2955
MESSAGING,6,MST,11.0548,1,256.0000,94.6332
MESSAGING,7,DIR,0.0322,1,632.0000,54.7341
MESSAGING,7,HEU,5.5976,1,256.0000,81.6940
MESSAGING,7,MST,12.3584,1,256.0000,103.0896
MESSAGING,8,DIR,0.0212,1,636.0000,53.1402
MESSAGING,8,HEU,6.7604,1,258.0000,76.9958
MESSAGING,8,MST,11.2429,1,258.0000,95.3349
MESSAGING,9,DIR,0.0155,1,639.0000,51.6964
MESSAGING,9,HEU,8.0688,1,258.0000,73.5391
MESSAGING,9,MST,11.4818,1,258.0000,90.1837
MESSAGING,10,DIR,0.0348,1,643.0000,50.6082
MESSAGING,10,HEU,8.7841,1,259.0000,73.1303
MESSAGING,10,MST,11.5724,1,259.0000,85.7707
MESSAGING,11,DIR,0.0176,1,769.0000,49.0478
MESSAGING,11,HEU,9.5727,1,261.0000,78.1056
MESSAGING,11,MST,11.4272,1,259.0000,85.7438
MESSAGING,12,DIR,0.0181,1,894.0000,47.4435
MESSAGING,12,HEU,10.8702,1,386.0000,73.8597
MESSAGING,12,MST,11.3294,1,384.0000,80.8035
MESSAGING,13,DIR,0.0570,1,1020.0000,48.0984
MESSAGING,13,HEU,12.0044,1,386.0000,75.8713
MESSAGING,13,MST,11.4648,1,384.0000,85.5128
MESSAGING,14,DIR,0.0491,1,1150.0000,47.2607
MESSAGING,14,HEU,13.2246,1,514.0000,72.8973
MESSAGING,14,MST,11.7204,1,511.0000,86.5094
MESSAGING,15,DIR,0.0224,1,1154.0000,47.3354
MESSAGING,15,HEU,14.7858,1,517.0000,73.4862
MESSAGING,15,MST,11.2960,1,513.0000,83.7817
MESSAGING,16,DIR,0.0379,1,1156.0000,44.6001
MESSAGING,16,HEU,15.9338,1,519.0000,69.0075
MESSAGING,16,MST,11.7271,1,515.0000,78.6166
MESSAGING,17,DIR,0.0386,1,1282.0000,45.7133
MESSAGING,17,HEU,16.9656,1,521.0000,69.1123
MESSAGING,17,MST,11.5449,1,516.0000,81.5622
MESSAGING,18,DIR,0.0262,1,1408.0000,46.8778
MESSAGING,18,HEU,18.0280,1,521.0000,70.6724
MESSAGING,18,MST,11.4043,1,516.0000,81.7277
MESSAGING,19,DIR,0.0250,1,1412.0000,46.5410
MESSAGING,19,HEU,19.1495,1,521.0000,70.1735
MESSAGING,19,MST,11.4555,1,516.0000,80.0516
MESSAGING,20,DIR,0.0236,1,1538.0000,48.3975
MESSAGING,20,HEU,21.4341,1,525.0000,69.8605
MESSAGING,20,MST,11.6189,1,518.0000,81.1439
MESSAGING,21,DIR,0.0253,1,1542.0000,48.0065
MESSAGING,21,HEU,22.7458,1,525.0000,67.6182
MESSAGING,21,MST,11.8799,1,518.0000,82.4998
MESSAGING,22,DIR,0.0618,1,1544.0000,47.8612
MESSAGING,22,HEU,23.0854,1,521.0000,80.0087
MESSAGING,22,MST,11.6978,1,518.0000,88.0248
MESSAGING,23,DIR,0.0281,1,1669.0000,47.1015
MESSAGING,23,HEU,25.0862,1,646.0000,79.5325
MESSAGING,23,MST,11.6196,1,643.0000,87.1843
MESSAGING,24,DIR,0.0257,1,1673.0000,47.1239
MESSAGING,24,HEU,25.6641,1,647.0000,75.8507
MESSAGING,24,MST,12.1181,1,644.0000,85.7917
MESSAGING,25,DIR,0.0317,1,1799.0000,46.6186
MESSAGING,25,HEU,27.0619,1,647.0000,77.5098
MESSAGING,25,MST,12.1603,1,644.0000,87.8353
MESSAGING,26,DIR,0.0327,1,1925.0000,46.1328
MESSAGING,26,HEU,28.5442,1,648.0000,78.3341
MESSAGING,26,MST,12.0742,1,645.0000,89.5890
MESSAGING,27,DIR,0.0312,1,2051.0000,46.4190
MESSAGING,27,HEU,30.3910,1,648.0000,78.8639
MESSAGING,27,MST,12.4998,1,646.0000,91.0956
MESSAGING,28,DIR,0.0339,1,2176.0000,45.8859
MESSAGING,28,HEU,31.2595,1,648.0000,78.5861
MESSAGING,28,MST,12.1982,1,646.0000,90.3648
MESSAGING,29,DIR,0.0508,1,2179.0000,45.7947
MESSAGING,29,HEU,31.9211,1,648.0000,77.3012
MESSAGING,29,MST,12.8121,1,645.0000,89.0464
MESSAGING,30,DIR,0.0467,1,2305.0000,45.9995
MESSAGING,30,HEU,33.9830,1,648.0000,79.0482
MESSAGING,30,MST,12.3959,1,645.0000,91.1804
MESSAGING,31,DIR,0.0470,1,2431.0000,45.6277
MESSAGING,31,HEU,34.7185,1,648.0000,79.9921
MESSAGING,31,MST,12.3792,1,645.0000,92.6534
MESSAGING,32,DIR,0.0701,1,2433.0000,45.6559
MESSAGING,32,HEU,36.0384,1,650.0000,79.4947
MESSAGING,32,MST,12.5721,1,647.0000,91.1947
MESSAGING,33,DIR,0.0596,1,2559.0000,46.3123
MESSAGING,33,HEU,40.7233,1,650.0000,80.1249
MESSAGING,33,MST,12.4359,1,647.0000,91.9819
MESSAGING,34,DIR,0.0830,1,2690.0000,47.3484
MESSAGING,34,HEU,42.5131,1,653.0000,80.2171
MESSAGING,34,MST,12.1760,1,650.0000,93.5242
MESSAGING,35,DIR,0.0331,1,2691.0000,47.2852
MESSAGING,35,HEU,42.1901,1,651.0000,82.2970
MESSAGING,35,MST,11.9436,1,646.0000,93.9143
MESSAGING,36,DIR,0.0641,1,2822.0000,48.0478
MESSAGING,36,HEU,42.1281,1,651.0000,82.1472
MESSAGING,36,MST,12.9018,1,646.0000,95.1967
MESSAGING,37,DIR,0.0777,1,2824.0000,47.8913
MESSAGING,37,HEU,43.5872,1,652.0000,81.4421
MESSAGING,37,MST,12.1930,1,647.0000,93.0667
MESSAGING,38,DIR,0.0684,1,2828.0000,47.9043
MESSAGING,38,HEU,44.7073,1,652.0000,80.5769
MESSAGING,38,MST,12.7895,1,647.0000,92.0392
