content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,max_delay
AUDIO,19,DIR,0.0396,1,1409.0000,73.9776
AUDIO,19,HEU,22.3351,1,518.0000,105.0665
AUDIO,19,MST,12.3551,1,516.0000,125.4739
AUDIO,25,DIR,0.0451,1,1798.0000,73.9776
AUDIO,25,HEU,33.8252,1,519.0000,130.3943
AUDIO,25,MST,13.0291,1,518.0000,138.5805
AUDIO,31,DIR,0.0472,1,2553.0000,73.9776
AUDIO,31,HEU,42.0818,1,647.0000,131.6260
AUDIO,31,MST,13.1559,1,644.0000,138.5805
AUDIO,37,DIR,0.0546,1,3066.0000,81.8154
AUDIO,37,HEU,56.2615,1,648.0000,132.1576
AUDIO,37,MST,14.4367,0,0.0000,150.0000
AUDIO,43,DIR,0.0687,1,3454.0000,81.8154
AUDIO,43,HEU,71.1579,1,650.0000,149.6166
AUDIO,43,MST,15.5137,0,0.0000,150.0000
GAMING,7,DIR,0.0205,1,387.0000,66.6596
GAMING,7,HEU,6.3558,1,135.0000,70.5607
GAMING,7,ILP,1567359.3547,1,134.0000,70.1937
GAMING,7,MST,11.8945,0,0.0000,75.0000
GAMING,13,DIR,0.0403,1,1146.0000,73.9776
GAMING,13,HEU,12.7540,1,520.0000,73.9776
GAMING,13,MST,13.2384,0,0.0000,75.0000
GAMING,19,DIR,0.0460,1,1409.0000,73.9776
GAMING,19,HEU,24.9093,1,526.0000,73.9776
GAMING,19,MST,12.8088,0,0.0000,75.0000
GAMING,25,DIR,0.0412,1,1798.0000,73.9776
GAMING,25,HEU,32.3861,1,528.0000,74.3785
GAMING,25,MST,12.9244,0,0.0000,75.0000
GAMING,31,DIR,0.0482,1,2553.0000,73.9776
GAMING,31,HEU,45.8639,1,782.0000,74.3350
GAMING,31,MST,13.7055,0,0.0000,75.0000
GAMING,37,DIR,0.0334,0,0.0000,75.0000
GAMING,37,HEU,19.5317,0,0.0000,75.0000
GAMING,37,MST,14.0257,0,0.0000,75.0000
GAMING,43,DIR,0.0427,0,0.0000,75.0000
GAMING,43,HEU,28.6255,0,0.0000,75.0000
GAMING,43,MST,14.5910,0,0.0000,75.0000
